(263, 'Core i5-10500', 'FCLGA1200', 8.29, '6 / 12', 2020, '65 W')
(264, 'Core i3-12100', 'FCLGA1700', 8.28, '4 / 8', 2022, '60 W')
(265, 'Core i7-9700', 'FCLGA1151', 8.27, '8 / 8', 2019, '65 W')
(266, 'Core i7-9700F', 'FCLGA1151', 8.25, '8 / 8', 2019, '65 W')
(267, 'Ryzen 5 2600', 'AMD Socket AM4', 8.22, '6 / 12', 2018, '65 W')
(268, 'Ryzen 5 3500X', 'AMD Socket AM4', 8.21, '6 / 6', 2019, '65 W')
(269, 'Core i9-9900T', 'FCLGA1151', 8.2, '8 / 16', 2019, '35 W')
(270, 'Core i3-12300T', 'FCLGA1700', 8.2, '4 / 8', 2022, '35 W')
(271, 'Ryzen 5 1600X', 'AMD Socket AM4', 8.13, '6 / 12', 2017, '95 W')
(272, 'Core i5-10400F', 'FCLGA1200', 8.12, '6 / 12', 2020, '65 W')
(273, 'Ryzen Embedded V2516', 'AMD Socket FP6', 8.11, '6 / 12', 2020, '10 W')
(274, 'Core i7-5960X', 'FCLGA2011', 8.1, '8 / 16', 2014, '140 W')
(275, 'Ryzen 3 5300G', 'AMD Socket AM4', 8.08, '4 / 8', 2021, '65 W')
(276, 'Core i3-13100T', 'FCLGA1700', 8.06, '4 / 8', 2023, '35 W')
(277, 'Core i7-7800X', 'FCLGA2066', 8.03, '6 / 12', 2017, '140 W')
(278, 'Core i7-8700', 'FCLGA1151', 7.98, '6 / 12', 2018, '65 W')
(279, 'Core i7-10700T', 'FCLGA1200', 7.96, '8 / 16', 2020, '35 W')
(280, 'Ryzen 3 PRO 5350GE', 'AMD Socket AM4', 7.89, '4 / 8', 2021, '35 W')
(281, 'Core i7-9700E', 'Intel Socket 1151', 7.87, '8 / 8', 2019, '65 W')
(282, 'Core i3-12100T', 'FCLGA1700', 7.85, '4 / 8', 2022, '35 W')
(283, 'Core i5-11500T', 'FCLGA1200', 7.72, '6 / 12', 2021, '35 W')
(284, 'Core i5-10505', 'FCLGA1200', 7.57, '6 / 12', 2021, '65 W')
(285, 'Core i5-10400', 'FCLGA1200', 7.54, '6 / 12', 2020, '65 W')
(286, 'Ryzen 3 3100', 'AMD Socket AM4', 7.44, '4 / 8', 2020, '65 W')
(287, 'Ryzen Embedded V3C14', 'AMD Socket FP7', 7.41, '4 / 8', 2022, '15 W')
